93,5
69,34
2,9
69,32
13,10
96,13
99,41
93,41
69,38
13,27
69,42
2,20
2,17
69,20
96,8
13,20
74,29
5,12
74,28
5,16
74,38
90,19
74,32
80,1
90,6
52,33
5,34
90,44
90,46
74,48
80,49
61,31
37,30
4,18
86,22
86,12
21,42
21,27
20,22
21,19
37,46
64,18
88,10
64,20
41,4
64,5
64,38
41,30
88,40
64,11
64,10
64,44
67,3
67,4
24,6
10,24
57,8
10,31
67,32
10,34
24,49
42,12
73,38
6,4
73,28
73,45
83,35
6,32
83,19
6,13
83,1
77,49
76,38
54,6
76,7
15,7
25,36
15,12
54,15
40,12
36,11
3,22
40,8
40,4
36,41
71,16
30,38
71,39
30,11
30,9
71,32
26,18
71,38
58,38
58,39
65,14
85,42
85,35
85,20
85,32
